TimeStamp,stuff,Vehicle,Report Version,Total Battery Power (mW/h),Solar Power Generated (mW),Output Port Power (mW),Battery Charging Power (mW),Battery Charging Current (mA),
12.11.2016 16:05 , ,WAVE_UB ,1 ,659448 ,10587 ,8733 ,0 ,0 ,23 ,1
12.11.2016 15:05 , ,WAVE_UB ,1 ,662673 ,11579 ,8784 ,-8 ,0 ,23 ,1
12.11.2016 14:05 , ,WAVE_UB ,1 ,662154 ,11933 ,8793 ,0 ,0 ,23 ,1
12.11.2016 13:05 , ,WAVE_UB ,1 ,662154 ,11707 ,8914 ,0 ,0 ,23 ,1
12.11.2016 12:05 , ,WAVE_UB ,1 ,662154 ,11713 ,8847 ,0 ,0 ,23 ,1
12.11.2016 11:05 , ,WAVE_UB ,1 ,662168 ,10916 ,8726 ,395 ,23 ,23 ,1
12.11.2016 11:00 , ,WAVE_UB ,1 ,662168 ,10916 ,8726 ,395 ,23 ,23 ,1
11.11.2016 17:59 , ,WAVE_UB ,1 ,658598 ,8289 ,7018 ,-300 ,-17 ,23 ,1
11.11.2016 16:59 , ,WAVE_UB ,1 ,662343 ,11469 ,8822 ,-8 ,0 ,23 ,1
11.11.2016 15:59 , ,WAVE_UB ,1 ,662343 ,11709 ,8812 ,0 ,0 ,23 ,1
11.11.2016 14:59 , ,WAVE_UB ,1 ,662400 ,11476 ,8934 ,0 ,0 ,23 ,1
11.11.2016 13:59 , ,WAVE_UB ,1 ,662400 ,46786 ,57087 ,-1598 ,-95 ,23 ,1
11.11.2016 12:59 , ,WAVE_UB ,1 ,663279 ,24410 ,42690 ,-65 ,-3 ,23 ,1
11.11.2016 12:34 , ,WAVE_UB ,1 ,663279 ,11323 ,8815 ,0 ,0 ,23 ,1
11.11.2016 11:59 , ,WAVE_UB ,1 ,663409 ,10354 ,8710 ,0 ,0 ,23 ,1
11.11.2016 11:31 , ,WAVE_UB ,1 ,663409 ,8934 ,7242 ,0 ,0 ,23 ,1
11.11.2016 10:59 , ,WAVE_UB ,1 ,663423 ,7673 ,5568 ,0 ,0 ,23 ,1
11.11.2016 10:12 , ,WAVE_UB ,1 ,663221 ,11455 ,10530 ,-698 ,-41 ,23 ,1
11.11.2016 10:11 , ,WAVE_UB ,1 ,663221 ,11455 ,10530 ,-698 ,-41 ,23 ,1
10.11.2016 16:33 , ,WAVE_UB ,1 ,664185 ,8087 ,5764 ,0 ,0 ,23 ,1
10.11.2016 15:33 , ,WAVE_UB ,1 ,664185 ,7611 ,5591 ,0 ,0 ,23 ,1
10.11.2016 14:33 , ,WAVE_UB ,1 ,664185 ,7529 ,5589 ,0 ,0 ,23 ,1
10.11.2016 13:56 , ,WAVE_UB ,1 ,664185 ,12113 ,10231 ,0 ,0 ,23 ,1
09.11.2016 15:55 , ,WAVE_UB ,1 ,684561 ,7808 ,5653 ,0 ,0 ,23 ,1
09.11.2016 14:55 , ,WAVE_UB ,1 ,684561 ,7782 ,5597 ,0 ,0 ,23 ,1
09.11.2016 13:55 , ,WAVE_UB ,1 ,684561 ,42703 ,5560 ,34126 ,2034 ,23 ,1
09.11.2016 12:55 , ,WAVE_UB ,1 ,654466 ,86498 ,5943 ,76465 ,4622 ,23 ,1
09.11.2016 11:55 , ,WAVE_UB ,1 ,634738 ,71397 ,5750 ,62337 ,3790 ,23 ,1
08.11.2016 17:45 , ,WAVE_UB ,1 ,588356 ,11181 ,5601 ,3546 ,221 ,23 ,1
08.11.2016 16:45 , ,WAVE_UB ,1 ,576202 ,38068 ,10323 ,25003 ,1561 ,23 ,1
04.11.2016 18:25 , ,WAVE_UB ,1 ,552055 ,35218 ,5877 ,26934 ,1693 ,23 ,1
04.11.2016 18:20 , ,WAVE_UB ,1 ,550022 ,18619 ,5661 ,11008 ,693 ,23 ,1
04.11.2016 17:49 , ,WAVE_UB ,1 ,545616 ,55558 ,5654 ,46975 ,2957 ,23 ,1
04.11.2016 17:37 , ,WAVE_UB ,1 ,538430 ,20980 ,5591 ,12836 ,810 ,23 ,1
04.11.2016 15:52 , ,WAVE_UB ,1 ,484618 ,78562 ,4154 ,70786 ,4521 ,23 ,1
04.11.2016 14:52 , ,WAVE_UB ,1 ,428515 ,74729 ,2005 ,68963 ,4480 ,23 ,1
04.11.2016 13:52 , ,WAVE_UB ,1 ,360490 ,77112 ,2122 ,71909 ,4811 ,23 ,1
