TimeStamp,Structure ID,Ground Speed(kt),Target,Desired Heading (deg),Sub Heading,POG (deg),Float Temp(degC),Pressure Sensor Float(kPa),Battery (Wh),Signal Strength,User Name,Lat (deg),Lon (deg),Distance Over Ground(m),Water Speed (kt/1000) WS,Water Direction,Current Speed (kt),Current Heading (deg),Created On,,
24.11.2016 1:21 AM,Telemetry6,0.080994,42,175,79,303,23,114,604.85,5,System Admin,27.99242,-15.36830,5,0,79,,,24.11.2016 1:21 AM, ,
24.11.2016 1:19 AM,Telemetry6,0.097192,42,175,79,74,23,114,605.1,3,System Admin,27.99242,-15.36829,6,0,79,,,24.11.2016 1:19 AM, ,
24.11.2016 1:17 AM,Telemetry6,0.080994,42,174,78,249,23,114,605.44,3,System Admin,27.99241,-15.36831,5,0,79,,,24.11.2016 1:18 AM, ,
24.11.2016 1:15 AM,Telemetry6,0.097192,42,175,78,141,23,114,605.57,4,System Admin,27.99242,-15.36829,6,0,78,,,24.11.2016 1:15 AM, ,
24.11.2016 1:13 AM,Telemetry6,0.080994,42,174,79,270,22,114,605.79,5,System Admin,27.99244,-15.36832,5,0,78,,,24.11.2016 1:13 AM, ,
24.11.2016 1:11 AM,Telemetry6,0.054602,42,175,78,41,22,114,606.03,5,System Admin,27.99244,-15.36829,5,0,78,,,24.11.2016 1:11 AM, ,
24.11.2016 1:10 AM,Telemetry6,0,255,0,0, ,22,114,606.52,255,System Admin,0.00000,0.00000,0,0,0,,,24.11.2016 1:10 AM, ,
24.11.2016 1:09 AM,Telemetry6,0,255,0,0, ,22,114,606.52,255,System Admin,0.00000,0.00000,0,0,0,,,24.11.2016 1:09 AM, ,
24.11.2016 1:09 AM,Telemetry6,1E-05,42,0,0,77,22,114,606.32,0,System Admin,27.99242,-15.36831,5,0,79,,,24.11.2016 1:10 AM, ,
24.11.2016 1:08 AM,Telemetry6,0,42,0,0,30,22,114,606.44,0,System Admin,27.99244,-15.36829,0,0,79,,,24.11.2016 1:10 AM, ,
24.11.2016 1:08 AM,Telemetry6,0,42,0,0,0,22,114,606.44,0,System Admin,27.99244,-15.36829,0,0,79,,,24.11.2016 1:10 AM, ,
