TimeStamp,Structure ID,Ground Speed(kt),Target,Desired Heading (deg),Sub Heading,POG (deg),Float Temp(degC),Pressure Sensor Float(kPa),Battery (Wh),Signal Strength,User Name,Lat (deg),Lon (deg),Distance Over Ground(m),Water Speed (kt/1000) WS,Water Direction,Current Speed (kt),Current Heading (deg),Created On,,
19.02.2017 11:58 PM,Telemetry6,9.735421,22,309,245,241,25,118,655.35,4,System Admin,17.23473,-21.86775,601,0,236,,,19.02.2017 11:58 PM, ,
19.02.2017 11:56 PM,Telemetry6,9.654428,22,309,242,242,25,118,655.35,5,System Admin,17.23743,-21.86260,596,0,236,,,19.02.2017 11:56 PM, ,
19.02.2017 11:54 PM,Telemetry6,9.735421,22,309,246,241,25,118,655.35,5,System Admin,17.24005,-21.85746,601,0,236,,,19.02.2017 11:54 PM, ,
19.02.2017 11:52 PM,Telemetry6,9.719222,22,309,242,241,25,118,655.35,2,System Admin,17.24275,-21.85234,600,0,235,,,19.02.2017 11:52 PM, ,
19.02.2017 11:50 PM,Telemetry6,9.670626,22,309,243,242,25,118,655.35,4,System Admin,17.24547,-21.84721,597,0,238,,,19.02.2017 11:51 PM, ,
19.02.2017 11:48 PM,Telemetry6,9.589633,22,309,246,241,25,118,655.35,3,System Admin,17.24808,-21.84206,592,0,237,,,19.02.2017 11:48 PM, ,
19.02.2017 11:46 PM,Telemetry6,9.476242,22,309,246,242,25,118,655.35,5,System Admin,17.25072,-21.83699,585,0,237,,,19.02.2017 11:46 PM, ,
19.02.2017 11:44 PM,Telemetry6,9.703024,22,309,248,241,25,118,655.35,3,System Admin,17.25328,-21.83194,599,0,237,,,19.02.2017 11:44 PM, ,
19.02.2017 11:42 PM,Telemetry6,9.686825,22,309,244,242,25,118,655.35,5,System Admin,17.25601,-21.82685,598,0,236,,,19.02.2017 11:42 PM, ,
19.02.2017 11:40 PM,Telemetry6,9.476242,22,309,246,240,25,118,655.35,4,System Admin,17.25866,-21.82171,585,0,235,,,19.02.2017 11:40 PM, ,
19.02.2017 11:38 PM,Telemetry6,9.443844,22,309,241,237,25,118,655.35,3,System Admin,17.26142,-21.81677,583,0,232,,,19.02.2017 11:40 PM, ,
19.02.2017 11:36 PM,Telemetry6,9.962203,22,309,240,243,25,118,655.35,3,System Admin,17.26434,-21.81197,615,0,236,,,19.02.2017 11:36 PM, ,
19.02.2017 11:34 PM,Telemetry6,10.480562,22,309,255,294,25,118,655.35,5,System Admin,17.26693,-21.80662,647,0,278,,,19.02.2017 11:34 PM, ,
19.02.2017 11:32 PM,Telemetry6,9.962203,22,309,334,355,25,118,655.35,4,System Admin,17.26465,-21.80122,615,0,355,,,19.02.2017 11:32 PM, ,
19.02.2017 11:30 PM,Telemetry6,9.962203,22,309,23,16,25,118,655.35,5,System Admin,17.25913,-21.80072,615,0,24,,,19.02.2017 11:30 PM, ,
