TimeStamp,Weather Station,Temperature(degC),Wind Speed(kt),Wind Gust Speed(kt),Wind Direction,Pressure(mb),Latitude,Longitude,,
24.11.2016 6:20 AM, ,21.2,2.1,6.3,351,1019.6,27.99247,-15.36830, ,
24.11.2016 6:10 AM, ,21.2,2.9,8.4,2.9,1019.2,27.99246,-15.36830, ,
24.11.2016 6:00 AM, ,21.6,2.6,7,1.2,1019.4,27.99243,-15.36829, ,
24.11.2016 5:50 AM, ,21.7,2.3,6.4,357.7,1019.7,27.99246,-15.36830, ,
24.11.2016 5:40 AM, ,21.6,2.2,6.4,2,1020.5,27.99246,-15.36832, ,
24.11.2016 5:30 AM, ,21.7,3.1,8.8,6.4,1020.1,27.99249,-15.36829, ,
24.11.2016 5:20 AM, ,21.9,2.2,7.5,357.5,1020.6,27.99250,-15.36835, ,
24.11.2016 5:10 AM, ,21.8,2.6,8.7,356.3,1021.1,27.99249,-15.36830, ,
24.11.2016 5:00 AM, ,21.9,2,6.6,352.4,1021.4,27.99249,-15.36831, ,
24.11.2016 4:50 AM, ,21.9,1.9,5.3,344.8,1021.5,27.99248,-15.36829, ,
24.11.2016 4:40 AM, ,21.8,1.8,5.7,8,1021.6,27.99245,-15.36830, ,
24.11.2016 4:30 AM, ,21.4,2.9,9.2,231.6,1021.8,27.99248,-15.36830, ,
24.11.2016 4:20 AM, ,21.7,3.2,10.2,210.2,1021.9,27.99248,-15.36829, ,
24.11.2016 4:10 AM, ,22.1,3.2,12.6,205,1021.9,27.99246,-15.36831, ,
24.11.2016 4:00 AM, ,22.3,2.3,9.8,344.8,1022.3,27.99243,-15.36830, ,
24.11.2016 3:50 AM, ,21.8,2,6.6,226,1022.4,27.99243,-15.36832, ,
24.11.2016 3:40 AM, ,21.5,2.3,7.9,260,1022.3,27.99244,-15.36831, ,
24.11.2016 3:30 AM, ,21.3,2.4,8.5,233.4,1022.6,27.99244,-15.36831, ,
