TimeStamp,Weather Station,Temperature(degC),Wind Speed(kt),Wind Gust Speed(kt),Wind Direction,Pressure(mb),Latitude,Longitude,,
12.11.2016 7:50 AM, ,18.1,6.5,12.7,106.6,1015.7,27.99240,-15.36852, ,
12.11.2016 7:40 AM, ,18.1,4.5,8.3,115.6,1015.2,27.99240,-15.36852, ,
12.11.2016 7:30 AM, ,20,5.2,17.3,269.7,1020.9,27.99239,-15.36853, ,
12.11.2016 7:20 AM, ,21.7,3.7,10.9,47.7,1021.4,27.99240,-15.36853, ,
12.11.2016 7:10 AM, ,22,6,19.5,48,1021.1,27.99240,-15.36852, ,
12.11.2016 7:00 AM, ,21.2,16.1,34.5,14.6,1021.1,27.99236,-15.36818, ,
12.11.2016 6:50 AM, ,21.1,12.8,22.7,13.8,1021.3,27.98921,-15.36833, ,
12.11.2016 6:40 AM, ,20.8,13.8,21.4,16.2,1021.3,27.98939,-15.36864, ,
12.11.2016 6:30 AM, ,21,15.2,20.2,8.3,1021.2,27.98699,-15.36810, ,
12.11.2016 6:20 AM, ,20.9,14.6,21.7,17.2,1021.5,27.98623,-15.36405, ,
12.11.2016 6:10 AM, ,20.5,16.2,21.8,14.2,1021.5,27.98620,-15.36376, ,
12.11.2016 6:00 AM, ,21.2,14.4,21.8,11.1,1021.7,27.98639,-15.36412, ,
12.11.2016 5:50 AM, ,21.2,13.1,18.6,6.6,1021.9,27.98662,-15.36401, ,
12.11.2016 5:40 AM, ,21.1,13.6,19.5,19.8,1022.2,27.98643,-15.36352, ,
12.11.2016 5:30 AM, ,21.2,13.8,19.8,20.5,1022.6,27.98632,-15.36365, ,
12.11.2016 5:20 AM, ,21.2,13.7,20.6,20.9,1023,27.98652,-15.36354, ,
12.11.2016 5:10 AM, ,21.2,13.4,18.2,23.2,1023.3,27.98622,-15.36347, ,
12.11.2016 5:00 AM, ,20.8,14.6,19.8,24.7,1023.2,27.98688,-15.36439, ,
12.11.2016 4:50 AM, ,20.6,15.4,20.8,24.5,1023.3,27.98511,-15.36251, ,
12.11.2016 4:40 AM, ,20.8,15.4,21.1,25.8,1023,27.98209,-15.35917, ,
12.11.2016 4:30 AM, ,21,14.3,20.9,29.3,1023.6,27.97919,-15.35609, ,
12.11.2016 4:20 AM, ,21.3,14.2,20.8,28.6,1023.5,27.97874,-15.36012, ,
12.11.2016 4:10 AM, ,20.8,15.2,21.8,30.9,1024,27.98228,-15.35780, ,
12.11.2016 4:00 AM, ,21,15.9,24.2,34.7,1023.7,27.97967,-15.35614, ,
12.11.2016 3:50 AM, ,21.1,13.7,21.5,33.5,1023.7,27.97874,-15.35964, ,
12.11.2016 3:40 AM, ,21.4,14,20.5,32.1,1023.6,27.98210,-15.35858, ,
12.11.2016 3:30 AM, ,21.1,13,19.6,33.7,1023.5,27.98564,-15.35737, ,
12.11.2016 3:20 AM, ,20.6,14.8,21.3,35.3,1023.4,27.98837,-15.35822, ,
12.11.2016 3:10 AM, ,20.9,14.9,20,34.3,1023.9,27.98567,-15.35610, ,
12.11.2016 3:00 AM, ,21,15.3,21,30.9,1023.9,27.98612,-15.35975, ,
12.11.2016 2:50 AM, ,21.2,15.3,20.3,34.1,1024.1,27.98609,-15.35887, ,
12.11.2016 2:40 AM, ,21.2,15.7,21.4,32,1024.3,27.98596,-15.36373, ,
12.11.2016 2:30 AM, ,21,14.9,21,23.6,1024.3,27.98606,-15.36781, ,
12.11.2016 2:20 AM, ,21.1,12.1,19.3,22.7,1024.1,27.98631,-15.36950, ,
12.11.2016 2:10 AM, ,21,13.7,20.6,17.9,1023.8,27.98913,-15.36838, ,
12.11.2016 2:00 AM, ,21.2,12.5,23,19.3,1023.6,27.98912,-15.36838, ,
12.11.2016 1:50 AM, ,21,13.5,23.4,21.9,1023.5,27.98913,-15.36838, ,
12.11.2016 1:40 AM, ,21.2,13.7,25.9,19.1,1023.5,27.98913,-15.36839, ,
12.11.2016 1:30 AM, ,20.8,11.2,36.4,50.4,1023.3,27.98912,-15.36837, ,
12.11.2016 1:20 AM, ,20.4,6.9,16.2,88.3,1024,27.99239,-15.36853, ,
12.11.2016 1:10 AM, ,20.3,7,13.2,93.4,1024.1,27.99237,-15.36850, ,
11.11.2016 10:00 AM, ,21.3,4.6,17.4,157.7,1022.9,27.99238,-15.36854, ,
11.11.2016 9:50 AM, ,21.4,3.7,9.6,190.7,1023.4,27.99203,-15.36850, ,
11.11.2016 9:40 AM, ,21.8,3.6,8.9,201.2,1023.1,27.99202,-15.36850, ,
11.11.2016 9:30 AM, ,21.3,7.1,25.5,301,1022.9,27.99197,-15.36849, ,
11.11.2016 9:20 AM, ,21.1,13,25.7,3,1022.8,27.99104,-15.36839, ,
11.11.2016 9:10 AM, ,21.2,11.5,17.7,10.5,1023.1,27.98912,-15.36836, ,
11.11.2016 9:00 AM, ,21.2,11.4,24.3,14.9,1022.9,27.98917,-15.36839, ,
11.11.2016 8:50 AM, ,21.2,12.9,19.6,359.7,1023.2,27.98727,-15.36970, ,
11.11.2016 8:40 AM, ,21.2,15.3,20.7,1,1023.2,27.98616,-15.36641, ,
11.11.2016 8:30 AM, ,21.2,16.1,21.9,356.8,1022.9,27.98636,-15.36125, ,
11.11.2016 8:20 AM, ,21.3,15.4,21.3,357.3,1023,27.98665,-15.35628, ,
11.11.2016 8:10 AM, ,21.1,14.9,22.9,3.8,1023.3,27.98745,-15.35382, ,
11.11.2016 8:00 AM, ,20.9,16.4,22.3,7.5,1023.1,27.98817,-15.35762, ,
11.11.2016 7:50 AM, ,21.3,16.5,22.6,11.7,1023.1,27.98573,-15.35593, ,
11.11.2016 7:40 AM, ,21.3,15.6,21.8,14.5,1022.9,27.98531,-15.35933, ,
